kode,week,kabupaten,sex,periode_covid_Tgl Lahir,dosis,timely,untimely,total,ratio_timely,ratio_untimely,tanggal_awal_minggu,jenis_wilayah,week_shifted,periode_covid,month
1,2018-W01,SLEMAN,Perempuan,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-01-01,urban,0,before_covid,2018-01
1,2018-W02,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-01-07,urban,1,before_covid,2018-01
1,2018-W02,SLEMAN,Laki-laki,before_covid,dosis_1,0,1,1,0.0,100.0,2018-01-07,urban,1,before_covid,2018-01
1,2018-W02,SLEMAN,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-01-07,urban,1,before_covid,2018-01
1,2018-W03,BANTUL,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-01-14,rural,2,before_covid,2018-01
1,2018-W03,BANTUL,Perempuan,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-01-14,rural,2,before_covid,2018-01
1,2018-W03,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-01-14,urban,2,before_covid,2018-01
1,2018-W03,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,7,0,7,100.0,0.0,2018-01-14,urban,2,before_covid,2018-01
1,2018-W03,SLEMAN,Perempuan,before_covid,HB 0 & BCG,12,0,12,100.0,0.0,2018-01-14,urban,2,before_covid,2018-01
1,2018-W04,BANTUL,Laki-laki,before_covid,HB 0 & BCG,1,0,1,100.0,0.0,2018-01-21,rural,3,before_covid,2018-01
1,2018-W04,BANTUL,Perempuan,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-01-21,rural,3,before_covid,2018-01
1,2018-W04,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,5,0,5,100.0,0.0,2018-01-21,rural,3,before_covid,2018-01
1,2018-W04,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,7,0,7,100.0,0.0,2018-01-21,urban,3,before_covid,2018-01
1,2018-W04,KOTA YOGYAKARTA,Laki-laki,before_covid,dosis_1,0,2,2,0.0,100.0,2018-01-21,urban,3,before_covid,2018-01
1,2018-W04,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-01-21,urban,3,before_covid,2018-01
1,2018-W04,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,12,0,12,100.0,0.0,2018-01-21,urban,3,before_covid,2018-01
1,2018-W04,SLEMAN,Laki-laki,before_covid,dosis_1,0,2,2,0.0,100.0,2018-01-21,urban,3,before_covid,2018-01
1,2018-W04,SLEMAN,Perempuan,before_covid,HB 0 & BCG,8,0,8,100.0,0.0,2018-01-21,urban,3,before_covid,2018-01
1,2018-W05,BANTUL,Laki-laki,before_covid,HB 0 & BCG,11,0,11,100.0,0.0,2018-01-28,rural,4,before_covid,2018-01
1,2018-W05,BANTUL,Perempuan,before_covid,HB 0 & BCG,2,0,2,100.0,0.0,2018-01-28,rural,4,before_covid,2018-01
1,2018-W05,BANTUL,Perempuan,before_covid,dosis_1,0,2,2,0.0,100.0,2018-01-28,rural,4,before_covid,2018-01
1,2018-W05,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,11,0,11,100.0,0.0,2018-01-28,rural,4,before_covid,2018-01
1,2018-W05,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-01-28,urban,4,before_covid,2018-01
1,2018-W05,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,4,0,4,100.0,0.0,2018-01-28,urban,4,before_covid,2018-01
1,2018-W05,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-01-28,rural,4,before_covid,2018-01
1,2018-W05,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,18,0,18,100.0,0.0,2018-01-28,urban,4,before_covid,2018-01
1,2018-W05,SLEMAN,Perempuan,before_covid,HB 0 & BCG,23,0,23,100.0,0.0,2018-01-28,urban,4,before_covid,2018-01
1,2018-W06,BANTUL,Perempuan,before_covid,dosis_1,0,4,4,0.0,100.0,2018-02-04,rural,5,before_covid,2018-02
1,2018-W06,GUNUNG KIDUL,unknown,before_covid,HB 0 & BCG,8,0,8,100.0,0.0,2018-02-04,rural,5,before_covid,2018-02
1,2018-W06,KOTA YOGYAKARTA,Laki-laki,before_covid,HB 0 & BCG,6,0,6,100.0,0.0,2018-02-04,urban,5,before_covid,2018-02
1,2018-W06,KOTA YOGYAKARTA,Perempuan,before_covid,HB 0 & BCG,8,0,8,100.0,0.0,2018-02-04,urban,5,before_covid,2018-02
1,2018-W06,KULON PROGO,Laki-laki,before_covid,HB 0 & BCG,4,0,4,100.0,0.0,2018-02-04,rural,5,before_covid,2018-02
1,2018-W06,KULON PROGO,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-02-04,rural,5,before_covid,2018-02
1,2018-W06,SLEMAN,Laki-laki,before_covid,HB 0 & BCG,29,0,29,100.0,0.0,2018-02-04,urban,5,before_covid,2018-02
1,2018-W06,SLEMAN,Perempuan,before_covid,HB 0 & BCG,27,0,27,100.0,0.0,2018-02-04,urban,5,before_covid,2018-02
1,2018-W07,BANTUL,Laki-laki,before_covid,HB 0 & BCG,5,0,5,100.0,0.0,2018-02-11,rural,6,before_covid,2018-02
1,2018-W07,BANTUL,Perempuan,before_covid,HB 0 & BCG,3,0,3,100.0,0.0,2018-02-11,rural,6,before_covid,2018-02
